"taxa","V1","V2","popID"
"F6",-0.658151584883536,-4.32893328809982,3
"F7",-4.16068282735886,-7.21543115163811,3
"GA209",-2.24738379630214,-4.35356995151418,3
"GT112",-5.22806061631579,-2.43439518054243,3
"H105W",14.5076245001198,-0.632940504156516,3
"H49",-1.28574232128741,-5.10032698146451,3
"H84",9.84792061150148,-0.473403837895798,3
"H91",22.691486105438,0.434390428317181,3
"H95",0.0163406205423366,-10.0118990089728,3
"H99",-2.04060289459036,-5.71428744446431,3
"HI27",-3.5218882888169,6.2317127706438,2
"HP301",-2.56763958946833,-6.83358210544127,3
"HY",7.8100383726345,-1.14174235951018,3
"I137TN",-5.86854676750804,0.912419286361116,3
"I205",4.13895223898624,-2.98349308348385,3
"I29",-1.22248364385297,-2.79550400294954,2
